Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two,Value_Score,Price_Category
Restaurant Momo Point,Bangalore,Whitefield,"Biryani, Cafe",Quick Bites,Yes,No,2.7,36,543,0.4972,Affordable
New Momo Point,Bangalore,Koramangala,Italian,Quick Bites,Yes,No,3.6,75,481,0.7484,Affordable
Shree Taste of India,Bangalore,Koramangala,"Continental, South Indian, Punjabi",Bakery,Yes,No,2.6,421,345,0.7536,Affordable
Shree Grill House,Bangalore,BTM Layout,"Biryani, Chinese, Cafe",Food Court,Yes,No,3.6,400,266,1.3534,Budget
Dhaba Express,Bangalore,HSR Layout,Fast Food,Fine Dining,No,No,4.6,1080,2380,0.1933,Luxury
Biryani House,Bangalore,Whitefield,"Fast Food, Desserts, Bengali",Fine Dining,Yes,Yes,4.8,337,3442,0.1395,Luxury
Fusion Bites,Bangalore,Whitefield,"South Indian, Mexican, Thai",Cafe,Yes,No,3.8,916,1081,0.3515,Premium
Hotel Cloud Kitchen,Bangalore,Whitefield,Mexican,Food Court,Yes,Yes,3.5,120,533,0.6567,Affordable
The Hungry Tiger,Bangalore,Whitefield,"Thai, Cafe",Delivery,Yes,No,4.2,39,236,1.7797,Budget
Noodle Box,Bangalore,HSR Layout,Biryani,Quick Bites,Yes,No,2.8,41,424,0.6604,Affordable
Royal Food Hub,Bangalore,Koramangala,Beverages,Food Court,Yes,No,4.4,96,405,1.0864,Affordable
Royal Chaat Junction,Bangalore,BTM Layout,"Bengali, Gujarati",Dessert Parlour,Yes,No,2.9,126,362,0.8011,Affordable
The Hungry Tiger,Bangalore,Koramangala,Continental,Dessert Parlour,Yes,No,2.5,226,254,0.9843,Budget
The Noodle Box,Bangalore,Koramangala,"Bengali, Pizza",Quick Bites,Yes,No,3.0,694,386,0.7772,Affordable
Dosa Corner,Bangalore,BTM Layout,Desserts,Bakery,Yes,No,3.9,511,313,1.246,Affordable
Burger Barn,Bangalore,Whitefield,"Beverages, Chinese, Bengali",Bakery,No,Yes,3.7,90,368,1.0054,Affordable
Cafe Burger Barn,Bangalore,Koramangala,Punjabi,Cafe,Yes,No,3.5,765,1194,0.2931,Premium
Royal Dhaba Express,Bangalore,BTM Layout,"Mughlai, Pizza",Cafe,Yes,No,4.2,1336,581,0.7229,Affordable
Dhaba Express,Bangalore,HSR Layout,"Desserts, Biryani, Rajasthani",Food Court,Yes,No,3.1,615,240,1.2917,Budget
Shree Momo Point,Bangalore,BTM Layout,Beverages,Quick Bites,No,Yes,4.2,102,537,0.7821,Affordable
Flavor Town,Bangalore,Koramangala,"Mexican, Mughlai",Quick Bites,Yes,No,2.8,471,131,2.1374,Budget
Noodle Box,Bangalore,Whitefield,Continental,Cafe,No,No,4.0,375,1024,0.3906,Premium
Cafe The Hungry Tiger,Bangalore,Koramangala,"Desserts, Chinese, Cafe",Quick Bites,Yes,No,3.1,682,470,0.6596,Affordable
Cafe Urban Kitchen,Bangalore,BTM Layout,"Street Food, Seafood",Cafe,Yes,No,3.3,821,972,0.3395,Mid-Range
Cafe Taste of India,Bangalore,Whitefield,"Bengali, Punjabi, Beverages",Casual Dining,Yes,No,4.6,1045,749,0.6142,Mid-Range
Royal Dosa Corner,Bangalore,HSR Layout,"Thai, Punjabi, South Indian",Casual Dining,No,No,4.1,821,1011,0.4055,Premium
Shree Curry Leaf,Bangalore,Whitefield,"Beverages, Continental",Quick Bites,No,No,4.0,469,501,0.7984,Affordable
Shree Kebab King,Bangalore,BTM Layout,"Street Food, Seafood",Bakery,Yes,No,2.8,629,202,1.3861,Budget
Restaurant Dhaba Express,Bangalore,Whitefield,"Punjabi, Fast Food, Street Food",Casual Dining,Yes,Yes,3.9,351,925,0.4216,Mid-Range
Pizza Palace,Bangalore,Indiranagar,"South Indian, Seafood",Quick Bites,Yes,Yes,3.8,239,291,1.3058,Budget
Cafe Tiffin Box,Bangalore,BTM Layout,"Gujarati, Biryani",Quick Bites,No,No,3.8,91,563,0.675,Affordable
Royal Tiffin Box,Bangalore,Koramangala,Street Food,Fine Dining,Yes,Yes,4.1,328,3372,0.1216,Luxury
Taste of India,Bangalore,BTM Layout,"Biryani, Street Food, Bengali",Delivery,Yes,No,3.6,690,195,1.8462,Budget
Hotel Cloud Kitchen,Bangalore,BTM Layout,"Gujarati, South Indian",Quick Bites,Yes,No,3.0,375,108,2.7778,Budget
Cafe Pizza Palace,Bangalore,Koramangala,South Indian,Food Court,Yes,No,3.8,711,525,0.7238,Affordable
New Chaat Junction,Bangalore,Whitefield,Street Food,Bakery,Yes,No,4.3,327,261,1.6475,Budget
Aroma Restaurant,Bangalore,HSR Layout,"Mughlai, Street Food, Beverages",Quick Bites,No,Yes,3.8,137,239,1.59,Budget
Fusion Bites,Bangalore,Indiranagar,"Pizza, Gujarati",Fine Dining,No,No,4.7,1840,2592,0.1813,Luxury
Shree Food Hub,Bangalore,Whitefield,"Fast Food, Chinese",Dessert Parlour,Yes,Yes,3.4,446,467,0.7281,Affordable
Shree Food Hub,Bangalore,Indiranagar,"South Indian, Chinese",Fine Dining,No,No,4.4,263,2155,0.2042,Luxury
Shree Cloud Kitchen,Bangalore,Koramangala,Beverages,Casual Dining,Yes,No,3.2,1440,557,0.5745,Affordable
New Biryani House,Bangalore,Whitefield,"Beverages, Seafood, Desserts",Cafe,Yes,Yes,3.4,431,1153,0.2949,Premium
Shree Taste of India,Bangalore,Whitefield,"Rajasthani, Mughlai, Street Food",Dessert Parlour,No,No,2.9,85,169,1.716,Budget
New Burger Barn,Bangalore,Koramangala,"Chinese, Thai, Mexican",Food Court,Yes,Yes,2.8,727,463,0.6048,Affordable
Royal Taste of India,Bangalore,Koramangala,Continental,Delivery,No,Yes,3.6,488,288,1.25,Budget
New Kebab King,Bangalore,Indiranagar,"Gujarati, Punjabi",Dessert Parlour,Yes,No,3.6,334,164,2.1951,Budget
Restaurant Kebab King,Bangalore,BTM Layout,Bengali,Cafe,Yes,No,4.4,363,930,0.4731,Mid-Range
Cafe Momo Point,Bangalore,BTM Layout,Italian,Dessert Parlour,Yes,No,3.0,320,420,0.7143,Affordable
The Classic Dining,Bangalore,BTM Layout,Cafe,Cafe,No,No,4.5,511,977,0.4606,Mid-Range
Restaurant Urban Kitchen,Bangalore,HSR Layout,"Mughlai, Mexican, Bengali",Dessert Parlour,Yes,Yes,4.3,306,379,1.1346,Affordable
Aroma Restaurant,Bangalore,Whitefield,"Chinese, South Indian",Dessert Parlour,Yes,No,3.4,631,274,1.2409,Budget
The Masala Twist,Bangalore,HSR Layout,Beverages,Fine Dining,Yes,Yes,4.1,747,2001,0.2049,Luxury
Shree Chaat Junction,Bangalore,Whitefield,Pizza,Fine Dining,No,No,4.6,1762,2277,0.202,Luxury
Shree Fusion Bites,Bangalore,HSR Layout,Chinese,Bakery,No,No,4.4,607,210,2.0952,Budget
New Curry Leaf,Bangalore,Whitefield,"North Indian, Fast Food, Bengali",Dessert Parlour,Yes,Yes,3.8,384,306,1.2418,Affordable
Hotel Sweet Tooth,Bangalore,Whitefield,Seafood,Dessert Parlour,Yes,No,3.1,706,419,0.7399,Affordable
New Dhaba Express,Bangalore,Indiranagar,"Beverages, Biryani, Mughlai",Food Court,Yes,No,2.6,150,119,2.1849,Budget
New Chaat Junction,Bangalore,BTM Layout,"Cafe, Desserts",Cafe,Yes,No,4.3,1265,706,0.6091,Mid-Range
Royal Chaat Junction,Bangalore,Whitefield,"North Indian, Beverages",Dessert Parlour,Yes,Yes,3.3,752,257,1.284,Budget
The Momo Point,Bangalore,Koramangala,"South Indian, Mexican, Gujarati",Delivery,Yes,No,3.7,399,530,0.6981,Affordable
The Flavor Town,Bangalore,Indiranagar,Rajasthani,Delivery,Yes,Yes,3.9,523,310,1.2581,Affordable
Fusion Bites,Bangalore,HSR Layout,"Desserts, Gujarati, Punjabi",Delivery,Yes,No,3.4,360,372,0.914,Affordable
Shree The Hungry Tiger,Bangalore,HSR Layout,Italian,Delivery,Yes,Yes,4.4,799,252,1.746,Budget
Food Hub,Bangalore,Whitefield,"Italian, Street Food, Fast Food",Food Court,Yes,No,4.3,363,302,1.4238,Affordable
Royal Aroma Restaurant,Bangalore,BTM Layout,"Rajasthani, Italian",Casual Dining,No,Yes,4.4,1201,677,0.6499,Mid-Range
Hotel Urban Kitchen,Bangalore,Indiranagar,South Indian,Delivery,No,No,3.8,112,126,3.0159,Budget
Hotel Classic Dining,Bangalore,BTM Layout,"Pizza, Bengali, Gujarati",Quick Bites,Yes,Yes,4.4,302,264,1.6667,Budget
Food Hub,Bangalore,Koramangala,"South Indian, Pizza, Bengali",Delivery,No,Yes,4.3,416,528,0.8144,Affordable
Restaurant Biryani House,Bangalore,Whitefield,"Cafe, Fast Food, Desserts",Dessert Parlour,Yes,No,3.6,147,352,1.0227,Affordable
Noodle Box,Bangalore,BTM Layout,"Rajasthani, Italian, Pizza",Cafe,Yes,No,3.6,445,1090,0.3303,Premium
Shree Cloud Kitchen,Bangalore,Whitefield,Seafood,Food Court,No,Yes,3.8,264,265,1.434,Budget
Urban Kitchen,Bangalore,BTM Layout,"Mexican, Cafe",Food Court,Yes,No,3.9,693,131,2.9771,Budget
Flavor Town,Bangalore,BTM Layout,"Fast Food, Street Food, Beverages",Dessert Parlour,Yes,Yes,2.8,475,178,1.573,Budget
New Curry Leaf,Bangalore,BTM Layout,"Mughlai, Continental, Chinese",Bakery,Yes,No,3.2,587,569,0.5624,Affordable
Shree Food Hub,Bangalore,HSR Layout,Desserts,Cafe,No,No,4.2,1244,1134,0.3704,Premium
Restaurant Momo Point,Bangalore,Koramangala,"Bengali, Rajasthani, South Indian",Cafe,Yes,No,3.7,511,422,0.8768,Affordable
Cafe Cloud Kitchen,Bangalore,HSR Layout,"Beverages, Chinese",Quick Bites,Yes,Yes,3.8,493,578,0.6574,Affordable
Cafe Tiffin Box,Bangalore,HSR Layout,"Rajasthani, Seafood",Food Court,Yes,No,3.8,146,376,1.0106,Affordable
Shree Kebab King,Bangalore,Indiranagar,"Continental, North Indian, Mexican",Cafe,No,No,4.3,1139,834,0.5156,Mid-Range
Royal Food Hub,Bangalore,HSR Layout,Fast Food,Dessert Parlour,Yes,No,3.7,26,579,0.639,Affordable
Restaurant Aroma Restaurant,Bangalore,BTM Layout,South Indian,Quick Bites,Yes,Yes,2.9,67,542,0.5351,Affordable
Royal Aroma Restaurant,Bangalore,Indiranagar,"Cafe, Desserts, Continental",Food Court,Yes,Yes,3.8,433,213,1.784,Budget
Dosa Corner,Bangalore,BTM Layout,"Gujarati, South Indian, Beverages",Fine Dining,No,No,4.7,1626,2805,0.1676,Luxury
New Grill House,Bangalore,Indiranagar,Continental,Bakery,Yes,No,4.1,69,568,0.7218,Affordable
The Saffron,Bangalore,HSR Layout,Italian,Fine Dining,Yes,No,4.8,389,3019,0.159,Luxury
Spice Garden,Bangalore,Indiranagar,Mughlai,Quick Bites,No,No,3.8,500,211,1.8009,Budget
Shree Tiffin Box,Bangalore,Whitefield,"Fast Food, Gujarati, Continental",Delivery,No,No,3.3,575,222,1.4865,Budget
Restaurant Kebab King,Bangalore,Whitefield,"Beverages, Punjabi",Dessert Parlour,No,No,4.1,490,469,0.8742,Affordable
Cafe Curry Leaf,Bangalore,Whitefield,Mexican,Fine Dining,No,No,3.8,1396,3766,0.1009,Luxury
Shree Dhaba Express,Bangalore,Indiranagar,"Mexican, Continental",Delivery,Yes,No,3.9,791,231,1.6883,Budget
Hotel Urban Kitchen,Bangalore,Koramangala,Biryani,Food Court,No,No,4.3,667,377,1.1406,Affordable
Royal Chaat Junction,Bangalore,HSR Layout,"Biryani, Continental",Quick Bites,Yes,Yes,2.9,392,333,0.8709,Affordable
Dosa Corner,Bangalore,Koramangala,Thai,Quick Bites,Yes,Yes,3.6,511,240,1.5,Budget
Royal Burger Barn,Bangalore,Indiranagar,"Biryani, Continental, Mughlai",Casual Dining,Yes,Yes,3.7,211,806,0.4591,Mid-Range
Classic Dining,Mumbai,Juhu,"Chinese, South Indian, Cafe",Dessert Parlour,Yes,No,3.5,19,426,0.8216,Affordable
Tiffin Box,Mumbai,Colaba,"South Indian, Continental, Mughlai",Casual Dining,No,No,4.1,145,677,0.6056,Mid-Range
Dosa Corner,Mumbai,Colaba,Desserts,Quick Bites,Yes,Yes,2.8,739,520,0.5385,Affordable
Food Hub,Mumbai,Bandra,"Seafood, Thai, Desserts",Delivery,Yes,No,4.1,751,452,0.9071,Affordable
Shree Chaat Junction,Mumbai,Andheri,Chinese,Fine Dining,Yes,No,4.9,1784,3124,0.1569,Luxury
Hotel Saffron,Mumbai,Andheri,"Seafood, Bengali, Pizza",Food Court,No,No,2.7,312,416,0.649,Affordable
Hotel Dosa Corner,Mumbai,Powai,"Biryani, Seafood, Desserts",Fine Dining,Yes,Yes,4.8,937,3321,0.1445,Luxury
The Masala Twist,Mumbai,Powai,"Thai, Punjabi, Bengali",Bakery,Yes,Yes,3.6,622,405,0.8889,Affordable
Saffron,Mumbai,Powai,Thai,Fine Dining,No,No,4.4,1603,2194,0.2005,Luxury
Shree Fusion Bites,Mumbai,Colaba,Pizza,Cafe,Yes,No,3.9,789,478,0.8159,Affordable
Noodle Box,Mumbai,Colaba,"Fast Food, Biryani",Delivery,Yes,No,3.2,399,417,0.7674,Affordable
Royal Burger Barn,Mumbai,Juhu,"Desserts, Mughlai",Cafe,Yes,Yes,3.8,646,726,0.5234,Mid-Range
Shree Flavor Town,Mumbai,Andheri,"Seafood, Beverages",Fine Dining,Yes,No,4.5,568,3734,0.1205,Luxury
Taste of India,Mumbai,Powai,"Chinese, Bengali",Bakery,No,Yes,3.1,684,229,1.3537,Budget
Royal Classic Dining,Mumbai,Bandra,"Seafood, Thai, Punjabi",Bakery,No,No,3.3,378,118,2.7966,Budget
Noodle Box,Mumbai,Bandra,Beverages,Casual Dining,Yes,No,4.0,1437,1060,0.3774,Premium
Shree Cloud Kitchen,Mumbai,Colaba,Italian,Quick Bites,Yes,No,3.6,599,452,0.7965,Affordable
Restaurant Grill House,Mumbai,Powai,"North Indian, Gujarati",Cafe,Yes,No,4.6,340,518,0.888,Affordable
Hotel Urban Kitchen,Mumbai,Andheri,"Fast Food, Rajasthani",Food Court,No,No,2.6,737,122,2.1311,Budget
Sweet Tooth,Mumbai,Bandra,"Pizza, Thai, Cafe",Delivery,Yes,No,3.4,424,508,0.6693,Affordable
Hotel Tiffin Box,Mumbai,Andheri,"Mexican, Bengali",Delivery,Yes,No,2.9,730,485,0.5979,Affordable
Momo Point,Mumbai,Bandra,"Mughlai, Rajasthani",Food Court,Yes,No,3.5,664,594,0.5892,Affordable
Hotel Burger Barn,Mumbai,Juhu,"Rajasthani, Pizza",Food Court,No,No,3.1,614,414,0.7488,Affordable
New Flavor Town,Mumbai,Andheri,Beverages,Casual Dining,No,No,3.8,1227,541,0.7024,Affordable
Tiffin Box,Mumbai,Colaba,"Street Food, Biryani",Cafe,Yes,No,4.1,69,767,0.5346,Mid-Range
The Saffron,Mumbai,Andheri,"Gujarati, Bengali",Bakery,No,No,2.8,41,389,0.7198,Affordable
New Kebab King,Mumbai,Colaba,Rajasthani,Dessert Parlour,Yes,No,3.5,125,361,0.9695,Affordable
Shree Saffron,Mumbai,Juhu,"Rajasthani, Thai, Mughlai",Quick Bites,No,Yes,4.2,263,484,0.8678,Affordable
Cafe Curry Leaf,Mumbai,Andheri,"Fast Food, Continental",Casual Dining,Yes,No,4.2,1299,1127,0.3727,Premium
New Urban Kitchen,Mumbai,Bandra,"Beverages, Thai, Italian",Quick Bites,Yes,Yes,4.5,306,249,1.8072,Budget
Chaat Junction,Mumbai,Andheri,"South Indian, Italian",Cafe,No,Yes,4.5,349,655,0.687,Mid-Range
Dhaba Express,Mumbai,Powai,"Bengali, Seafood, Rajasthani",Dessert Parlour,Yes,No,4.0,537,306,1.3072,Affordable
Restaurant Chaat Junction,Mumbai,Juhu,"North Indian, Chinese, Rajasthani",Food Court,Yes,No,4.2,557,507,0.8284,Affordable
Shree Spice Garden,Mumbai,Bandra,"Desserts, Thai",Food Court,Yes,No,3.5,708,275,1.2727,Budget
Taste of India,Mumbai,Juhu,"Rajasthani, North Indian",Cafe,No,No,4.7,1381,535,0.8785,Affordable
Classic Dining,Mumbai,Bandra,Beverages,Dessert Parlour,No,No,2.6,322,420,0.619,Affordable
Hotel Noodle Box,Mumbai,Andheri,Mughlai,Casual Dining,Yes,Yes,3.8,961,1096,0.3467,Premium
Cafe Classic Dining,Mumbai,Andheri,Continental,Bakery,Yes,No,2.7,386,260,1.0385,Budget
