Restaurant_Name,City,Area,Cuisines,Restaurant_Type,Online_Order,Book_Table,Rating,Votes,Cost_For_Two
Cafe Dosa Corner,Bangalore,Indiranagar,South Indian,Dessert Parlour,Yes,Yes,3.2,159.0,320
Shree Masala Twist,Bangalore,BTM Layout,"Seafood, Continental, Gujarati",Casual Dining,No,Yes,3.9,,660
Restaurant Sweet Tooth,Bangalore,HSR Layout,Rajasthani,Cafe,No,No,3.6,1463.0,834
Spice Garden,Bangalore,BTM Layout,Seafood,Casual Dining,Yes,No,4.7,94.0,702
Cafe Classic Dining,Bangalore,Koramangala,"Gujarati, Street Food, Continental",Quick Bites,Yes,No,3.8,266.0,417
Cafe Tiffin Box,Bangalore,Whitefield,"Rajasthani, South Indian",Quick Bites,Yes,No,2.7,344.0,251
Shree Taste of India,Bangalore,Indiranagar,Italian,Dessert Parlour,No,No,4.4,774.0,251
Momo Point,Bangalore,HSR Layout,"Seafood, Thai, Beverages",Delivery,Yes,No,3.0,475.0,163
Shree Flavor Town,Bangalore,Whitefield,Continental,Food Court,Yes,No,4.4,634.0,267
Dhaba Express,Bangalore,Whitefield,Biryani,Fine Dining,Yes,Yes,4.9,399.0,1975
Shree Burger Barn,Bangalore,Whitefield,"Biryani, Bengali, Fast Food",Fine Dining,No,No,4.8,267.0,2645
Royal Spice Garden,Bangalore,Koramangala,"Beverages, Thai, Cafe",Casual Dining,Yes,Yes,4.7,237.0,865
Restaurant The Hungry Tiger,Bangalore,Indiranagar,Biryani,Food Court,No,Yes,4.2,222.0,383
Restaurant Momo Point,Bangalore,Whitefield,"Biryani, Cafe",Quick Bites,Yes,No,2.7,36.0,543
New Momo Point,Bangalore,Koramangala,Italian,Quick Bites,Yes,No,3.6,75.0,481
Shree Taste of India,Bangalore,Koramangala,"Continental, South Indian, Punjabi",Bakery,Yes,No,2.6,421.0,345
Shree Grill House,Bangalore,BTM Layout,"Biryani, Chinese, Cafe",Food Court,Yes,No,3.6,400.0,266
Dhaba Express,Bangalore,HSR Layout,Fast Food,Fine Dining,No,No,4.6,1080.0,2380
Biryani House,Bangalore,Whitefield,"Fast Food, Desserts, Bengali",Fine Dining,Yes,Yes,4.8,337.0,3442
Fusion Bites,Bangalore,Whitefield,"South Indian, Mexican, Thai",Cafe,Yes,No,3.8,916.0,1081
Hotel Cloud Kitchen,Bangalore,Whitefield,Mexican,Food Court,Yes,Yes,3.5,120.0,533
The Hungry Tiger,Bangalore,Whitefield,"Thai, Cafe",Delivery,Yes,No,4.2,39.0,236
Noodle Box,Bangalore,HSR Layout,Biryani,Quick Bites,Yes,No,2.8,41.0,424
Royal Food Hub,Bangalore,Koramangala,Beverages,Food Court,Yes,No,4.4,96.0,405
Royal Chaat Junction,Bangalore,BTM Layout,"Bengali, Gujarati",Dessert Parlour,Yes,No,2.9,126.0,362
The Hungry Tiger,Bangalore,Koramangala,Continental,Dessert Parlour,Yes,No,2.5,226.0,254
The Noodle Box,Bangalore,Koramangala,"Bengali, Pizza",Quick Bites,Yes,No,3.0,694.0,386
Dosa Corner,Bangalore,BTM Layout,Desserts,Bakery,Yes,No,3.9,,313
Burger Barn,Bangalore,Whitefield,"Beverages, Chinese, Bengali",Bakery,No,Yes,3.7,90.0,368
Cafe Burger Barn,Bangalore,Koramangala,Punjabi,Cafe,Yes,No,3.5,765.0,1194
Royal Dhaba Express,Bangalore,BTM Layout,"Mughlai, Pizza",Cafe,Yes,No,4.2,1336.0,581
Dhaba Express,Bangalore,HSR Layout,"Desserts, Biryani, Rajasthani",Food Court,Yes,No,3.1,615.0,240
Shree Momo Point,Bangalore,BTM Layout,Beverages,Quick Bites,No,Yes,4.2,102.0,537
Flavor Town,Bangalore,Koramangala,"Mexican, Mughlai",Quick Bites,Yes,No,2.8,471.0,131
Noodle Box,Bangalore,Whitefield,Continental,Cafe,No,No,4.0,375.0,1024
Cafe The Hungry Tiger,Bangalore,Koramangala,"Desserts, Chinese, Cafe",Quick Bites,Yes,No,3.1,682.0,470
Cafe Urban Kitchen,Bangalore,BTM Layout,"Street Food, Seafood",Cafe,Yes,No,3.3,821.0,972
Cafe Taste of India,Bangalore,Whitefield,"Bengali, Punjabi, Beverages",Casual Dining,Yes,No,4.6,1045.0,749
Royal Dosa Corner,Bangalore,HSR Layout,"Thai, Punjabi, South Indian",Casual Dining,No,No,4.1,821.0,1011
Shree Curry Leaf,Bangalore,Whitefield,"Beverages, Continental",Quick Bites,No,No,4.0,469.0,501
Shree Kebab King,Bangalore,BTM Layout,"Street Food, Seafood",Bakery,Yes,No,2.8,629.0,202
Restaurant Dhaba Express,Bangalore,Whitefield,"Punjabi, Fast Food, Street Food",Casual Dining,Yes,Yes,3.9,351.0,925
Pizza Palace,Bangalore,Indiranagar,"South Indian, Seafood",Quick Bites,Yes,Yes,,239.0,291
Cafe Tiffin Box,Bangalore,BTM Layout,"Gujarati, Biryani",Quick Bites,No,No,,91.0,563
Royal Tiffin Box,Bangalore,Koramangala,Street Food,Fine Dining,Yes,Yes,4.1,328.0,3372
Taste of India,Bangalore,BTM Layout,"Biryani, Street Food, Bengali",Delivery,Yes,No,3.6,690.0,195
Hotel Cloud Kitchen,Bangalore,BTM Layout,"Gujarati, South Indian",Quick Bites,Yes,No,3.0,375.0,108
Cafe Pizza Palace,Bangalore,Koramangala,South Indian,Food Court,Yes,No,3.8,711.0,525
New Chaat Junction,Bangalore,Whitefield,Street Food,Bakery,Yes,No,4.3,327.0,261
Aroma Restaurant,Bangalore,HSR Layout,"Mughlai, Street Food, Beverages",Quick Bites,No,Yes,3.8,137.0,239
Fusion Bites,Bangalore,Indiranagar,"Pizza, Gujarati",Fine Dining,No,No,4.7,1840.0,2592
Shree Food Hub,Bangalore,Whitefield,"Fast Food, Chinese",Dessert Parlour,Yes,Yes,3.4,446.0,467
Shree Food Hub,Bangalore,Indiranagar,"South Indian, Chinese",Fine Dining,No,No,4.4,263.0,2155
Shree Cloud Kitchen,Bangalore,Koramangala,Beverages,Casual Dining,Yes,No,3.2,1440.0,557
New Biryani House,Bangalore,Whitefield,"Beverages, Seafood, Desserts",Cafe,Yes,Yes,3.4,431.0,1153
Shree Taste of India,Bangalore,Whitefield,"Rajasthani, Mughlai, Street Food",Dessert Parlour,No,No,2.9,85.0,169
New Burger Barn,Bangalore,Koramangala,"Chinese, Thai, Mexican",Food Court,Yes,Yes,2.8,727.0,463
Royal Taste of India,Bangalore,Koramangala,Continental,Delivery,No,Yes,3.6,488.0,288
New Kebab King,Bangalore,Indiranagar,"Gujarati, Punjabi",Dessert Parlour,Yes,No,3.6,334.0,164
Restaurant Kebab King,Bangalore,BTM Layout,Bengali,Cafe,Yes,No,4.4,363.0,930
Cafe Momo Point,Bangalore,BTM Layout,Italian,Dessert Parlour,Yes,No,3.0,320.0,420
The Classic Dining,Bangalore,BTM Layout,Cafe,Cafe,No,No,4.5,,977
Restaurant Urban Kitchen,Bangalore,HSR Layout,"Mughlai, Mexican, Bengali",Dessert Parlour,Yes,Yes,4.3,306.0,379
Aroma Restaurant,Bangalore,Whitefield,"Chinese, South Indian",Dessert Parlour,Yes,No,3.4,631.0,274
The Masala Twist,Bangalore,HSR Layout,Beverages,Fine Dining,Yes,Yes,4.1,747.0,2001
Shree Chaat Junction,Bangalore,Whitefield,Pizza,Fine Dining,No,No,4.6,1762.0,2277
Shree Fusion Bites,Bangalore,HSR Layout,Chinese,Bakery,No,No,4.4,607.0,210
New Curry Leaf,Bangalore,Whitefield,"North Indian, Fast Food, Bengali",Dessert Parlour,Yes,Yes,,384.0,306
Hotel Sweet Tooth,Bangalore,Whitefield,Seafood,Dessert Parlour,Yes,No,3.1,706.0,419
New Dhaba Express,Bangalore,Indiranagar,"Beverages, Biryani, Mughlai",Food Court,Yes,No,2.6,150.0,119
New Chaat Junction,Bangalore,BTM Layout,"Cafe, Desserts",Cafe,Yes,No,4.3,1265.0,706
Royal Chaat Junction,Bangalore,Whitefield,"North Indian, Beverages",Dessert Parlour,Yes,Yes,3.3,752.0,257
The Momo Point,Bangalore,Koramangala,"South Indian, Mexican, Gujarati",Delivery,Yes,No,3.7,399.0,530
The Flavor Town,Bangalore,Indiranagar,Rajasthani,Delivery,Yes,Yes,3.9,523.0,310
Fusion Bites,Bangalore,HSR Layout,"Desserts, Gujarati, Punjabi",Delivery,Yes,No,3.4,360.0,372
Shree The Hungry Tiger,Bangalore,HSR Layout,Italian,Delivery,Yes,Yes,4.4,799.0,252
Food Hub,Bangalore,Whitefield,"Italian, Street Food, Fast Food",Food Court,Yes,No,4.3,363.0,302
Royal Aroma Restaurant,Bangalore,BTM Layout,"Rajasthani, Italian",Casual Dining,No,Yes,4.4,1201.0,677
Hotel Urban Kitchen,Bangalore,Indiranagar,South Indian,Delivery,No,No,3.8,112.0,126
Hotel Classic Dining,Bangalore,BTM Layout,"Pizza, Bengali, Gujarati",Quick Bites,Yes,Yes,4.4,302.0,264
Food Hub,Bangalore,Koramangala,"South Indian, Pizza, Bengali",Delivery,No,Yes,4.3,416.0,528
Restaurant Biryani House,Bangalore,Whitefield,"Cafe, Fast Food, Desserts",Dessert Parlour,Yes,No,3.6,147.0,352
Noodle Box,Bangalore,BTM Layout,"Rajasthani, Italian, Pizza",Cafe,Yes,No,3.6,445.0,1090
Shree Cloud Kitchen,Bangalore,Whitefield,Seafood,Food Court,No,Yes,,264.0,265
Urban Kitchen,Bangalore,BTM Layout,"Mexican, Cafe",Food Court,Yes,No,3.9,693.0,131
Flavor Town,Bangalore,BTM Layout,"Fast Food, Street Food, Beverages",Dessert Parlour,Yes,Yes,2.8,475.0,178
New Curry Leaf,Bangalore,BTM Layout,"Mughlai, Continental, Chinese",Bakery,Yes,No,3.2,587.0,569
Shree Food Hub,Bangalore,HSR Layout,Desserts,Cafe,No,No,4.2,1244.0,1134
Restaurant Momo Point,Bangalore,Koramangala,"Bengali, Rajasthani, South Indian",Cafe,Yes,No,3.7,,422
Cafe Cloud Kitchen,Bangalore,HSR Layout,"Beverages, Chinese",Quick Bites,Yes,Yes,,493.0,578
Cafe Tiffin Box,Bangalore,HSR Layout,"Rajasthani, Seafood",Food Court,Yes,No,3.8,146.0,376
Shree Kebab King,Bangalore,Indiranagar,"Continental, North Indian, Mexican",Cafe,No,No,4.3,1139.0,834
Royal Food Hub,Bangalore,HSR Layout,Fast Food,Dessert Parlour,Yes,No,3.7,26.0,579
Restaurant Aroma Restaurant,Bangalore,BTM Layout,South Indian,Quick Bites,Yes,Yes,2.9,67.0,542
Royal Aroma Restaurant,Bangalore,Indiranagar,"Cafe, Desserts, Continental",Food Court,Yes,Yes,3.8,433.0,213
Dosa Corner,Bangalore,BTM Layout,"Gujarati, South Indian, Beverages",Fine Dining,No,No,4.7,1626.0,2805
New Grill House,Bangalore,Indiranagar,Continental,Bakery,Yes,No,4.1,69.0,568
The Saffron,Bangalore,HSR Layout,Italian,Fine Dining,Yes,No,4.8,389.0,3019
Spice Garden,Bangalore,Indiranagar,Mughlai,Quick Bites,No,No,3.8,500.0,211
Shree Tiffin Box,Bangalore,Whitefield,"Fast Food, Gujarati, Continental",Delivery,No,No,3.3,575.0,222
Restaurant Kebab King,Bangalore,Whitefield,"Beverages, Punjabi",Dessert Parlour,No,No,4.1,490.0,469
Cafe Curry Leaf,Bangalore,Whitefield,Mexican,Fine Dining,No,No,3.8,1396.0,3766
Shree Dhaba Express,Bangalore,Indiranagar,"Mexican, Continental",Delivery,Yes,No,3.9,791.0,231
Hotel Urban Kitchen,Bangalore,Koramangala,Biryani,Food Court,No,No,4.3,667.0,377
Royal Chaat Junction,Bangalore,HSR Layout,"Biryani, Continental",Quick Bites,Yes,Yes,2.9,392.0,333
Dosa Corner,Bangalore,Koramangala,Thai,Quick Bites,Yes,Yes,3.6,,240
Royal Burger Barn,Bangalore,Indiranagar,"Biryani, Continental, Mughlai",Casual Dining,Yes,Yes,3.7,211.0,806
Classic Dining,Mumbai,Juhu,"Chinese, South Indian, Cafe",Dessert Parlour,Yes,No,3.5,19.0,426
Tiffin Box,Mumbai,Colaba,"South Indian, Continental, Mughlai",Casual Dining,No,No,4.1,145.0,677
Dosa Corner,Mumbai,Colaba,Desserts,Quick Bites,Yes,Yes,2.8,739.0,520
Food Hub,Mumbai,Bandra,"Seafood, Thai, Desserts",Delivery,Yes,No,4.1,751.0,452
Shree Chaat Junction,Mumbai,Andheri,Chinese,Fine Dining,Yes,No,4.9,1784.0,3124
Hotel Saffron,Mumbai,Andheri,"Seafood, Bengali, Pizza",Food Court,No,No,2.7,312.0,416
Hotel Dosa Corner,Mumbai,Powai,"Biryani, Seafood, Desserts",Fine Dining,Yes,Yes,4.8,937.0,3321
The Masala Twist,Mumbai,Powai,"Thai, Punjabi, Bengali",Bakery,Yes,Yes,3.6,622.0,405
Saffron,Mumbai,Powai,Thai,Fine Dining,No,No,4.4,1603.0,2194
Shree Fusion Bites,Mumbai,Colaba,Pizza,Cafe,Yes,No,3.9,789.0,478
Noodle Box,Mumbai,Colaba,"Fast Food, Biryani",Delivery,Yes,No,3.2,399.0,417
Royal Burger Barn,Mumbai,Juhu,"Desserts, Mughlai",Cafe,Yes,Yes,3.8,646.0,726
Shree Flavor Town,Mumbai,Andheri,"Seafood, Beverages",Fine Dining,Yes,No,4.5,568.0,3734
Taste of India,Mumbai,Powai,"Chinese, Bengali",Bakery,No,Yes,3.1,684.0,229
Royal Classic Dining,Mumbai,Bandra,"Seafood, Thai, Punjabi",Bakery,No,No,3.3,378.0,118
Noodle Box,Mumbai,Bandra,Beverages,Casual Dining,Yes,No,4.0,1437.0,1060
Shree Cloud Kitchen,Mumbai,Colaba,Italian,Quick Bites,Yes,No,3.6,599.0,452
Restaurant Grill House,Mumbai,Powai,"North Indian, Gujarati",Cafe,Yes,No,4.6,340.0,518
Hotel Urban Kitchen,Mumbai,Andheri,"Fast Food, Rajasthani",Food Court,No,No,2.6,737.0,122
Sweet Tooth,Mumbai,Bandra,"Pizza, Thai, Cafe",Delivery,Yes,No,3.4,424.0,508
Hotel Tiffin Box,Mumbai,Andheri,"Mexican, Bengali",Delivery,Yes,No,2.9,730.0,485
Momo Point,Mumbai,Bandra,"Mughlai, Rajasthani",Food Court,Yes,No,3.5,664.0,594
Hotel Burger Barn,Mumbai,Juhu,"Rajasthani, Pizza",Food Court,No,No,3.1,614.0,414
New Flavor Town,Mumbai,Andheri,Beverages,Casual Dining,No,No,3.8,1227.0,541
Tiffin Box,Mumbai,Colaba,"Street Food, Biryani",Cafe,Yes,No,4.1,69.0,767
The Saffron,Mumbai,Andheri,"Gujarati, Bengali",Bakery,No,No,2.8,41.0,389
New Kebab King,Mumbai,Colaba,Rajasthani,Dessert Parlour,Yes,No,3.5,125.0,361
Shree Saffron,Mumbai,Juhu,"Rajasthani, Thai, Mughlai",Quick Bites,No,Yes,4.2,263.0,484
Cafe Curry Leaf,Mumbai,Andheri,"Fast Food, Continental",Casual Dining,Yes,No,4.2,1299.0,1127
New Urban Kitchen,Mumbai,Bandra,"Beverages, Thai, Italian",Quick Bites,Yes,Yes,4.5,306.0,249
Chaat Junction,Mumbai,Andheri,"South Indian, Italian",Cafe,No,Yes,4.5,349.0,655
Dhaba Express,Mumbai,Powai,"Bengali, Seafood, Rajasthani",Dessert Parlour,Yes,No,4.0,537.0,306
Restaurant Chaat Junction,Mumbai,Juhu,"North Indian, Chinese, Rajasthani",Food Court,Yes,No,4.2,557.0,507
Shree Spice Garden,Mumbai,Bandra,"Desserts, Thai",Food Court,Yes,No,3.5,708.0,275
Taste of India,Mumbai,Juhu,"Rajasthani, North Indian",Cafe,No,No,4.7,1381.0,535
Classic Dining,Mumbai,Bandra,Beverages,Dessert Parlour,No,No,2.6,322.0,420
Hotel Noodle Box,Mumbai,Andheri,Mughlai,Casual Dining,Yes,Yes,,961.0,1096
Cafe Classic Dining,Mumbai,Andheri,Continental,Bakery,Yes,No,2.7,386.0,260
Restaurant Taste of India,Mumbai,Bandra,"Mexican, North Indian, Pizza",Casual Dining,Yes,No,4.1,893.0,555
New Fusion Bites,Mumbai,Colaba,Mexican,Cafe,No,No,3.8,557.0,543
Restaurant Chaat Junction,Mumbai,Powai,"North Indian, Street Food, Mughlai",Dessert Parlour,Yes,No,4.0,671.0,251
Royal Noodle Box,Mumbai,Juhu,Gujarati,Casual Dining,Yes,Yes,4.5,789.0,412
New Cloud Kitchen,Mumbai,Powai,"Chinese, North Indian",Cafe,Yes,Yes,3.5,865.0,461
Cafe Tiffin Box,Mumbai,Juhu,"Seafood, Chinese, Thai",Fine Dining,Yes,Yes,3.9,1247.0,1823
The Masala Twist,Mumbai,Andheri,"Chinese, Street Food, Bengali",Fine Dining,No,No,3.9,1089.0,1853
Cafe Kebab King,Mumbai,Andheri,Biryani,Casual Dining,No,Yes,4.6,1109.0,935
New Kebab King,Mumbai,Bandra,"Fast Food, North Indian, Desserts",Dessert Parlour,No,Yes,2.6,600.0,464
The Spice Garden,Mumbai,Andheri,"Pizza, Beverages, Cafe",Bakery,Yes,Yes,3.6,128.0,470
Burger Barn,Mumbai,Juhu,"Beverages, Seafood",Quick Bites,No,Yes,4.4,576.0,118
The Sweet Tooth,Mumbai,Bandra,"Desserts, Italian",Delivery,No,No,2.7,63.0,444
Restaurant Dhaba Express,Mumbai,Juhu,"Street Food, Desserts",Bakery,Yes,No,3.2,587.0,249
The The Hungry Tiger,Mumbai,Bandra,Thai,Bakery,No,Yes,2.5,34.0,309
Restaurant Grill House,Mumbai,Powai,"Street Food, Fast Food, Mughlai",Fine Dining,Yes,Yes,4.3,491.0,1745
Cafe Burger Barn,Mumbai,Juhu,"Chinese, Mexican",Food Court,Yes,Yes,4.1,616.0,138
Cafe Biryani House,Mumbai,Andheri,"Seafood, Desserts",Dessert Parlour,Yes,Yes,2.6,149.0,203
Hotel Dosa Corner,Mumbai,Juhu,"Desserts, Bengali",Bakery,Yes,No,4.0,325.0,331
Cafe Spice Garden,Mumbai,Powai,Desserts,Quick Bites,Yes,No,,535.0,302
Cafe Curry Leaf,Mumbai,Powai,"Thai, Continental, Fast Food",Bakery,Yes,No,2.8,73.0,106
Biryani House,Mumbai,Bandra,"Chinese, Mexican, Italian",Food Court,No,Yes,4.5,671.0,201
Curry Leaf,Mumbai,Andheri,Pizza,Bakery,No,No,3.9,40.0,354
The Taste of India,Mumbai,Juhu,"Rajasthani, Biryani",Dessert Parlour,Yes,No,3.0,520.0,251
Chaat Junction,Mumbai,Colaba,Bengali,Fine Dining,Yes,No,,1827.0,3726
Food Hub,Mumbai,Powai,"Mexican, Punjabi",Bakery,Yes,Yes,,234.0,405
Restaurant Momo Point,Mumbai,Powai,"Continental, Pizza, Fast Food",Food Court,Yes,Yes,3.6,764.0,505
Royal Momo Point,Mumbai,Andheri,Pizza,Food Court,Yes,No,,615.0,283
Fusion Bites,Mumbai,Andheri,"Thai, Street Food",Delivery,Yes,Yes,,234.0,408
Hotel Kebab King,Mumbai,Powai,"Pizza, Desserts",Cafe,Yes,Yes,4.3,277.0,545
New Flavor Town,Mumbai,Colaba,"Street Food, Desserts",Casual Dining,Yes,Yes,4.6,1047.0,1054
Royal Sweet Tooth,Mumbai,Colaba,Mexican,Food Court,No,No,4.0,,250
Aroma Restaurant,Mumbai,Bandra,Cafe,Quick Bites,Yes,No,3.7,589.0,427
The Saffron,Mumbai,Andheri,"Desserts, Pizza",Delivery,Yes,No,4.1,664.0,443
Chaat Junction,Mumbai,Powai,"Chinese, Beverages, Italian",Delivery,No,No,2.6,760.0,324
